"{""0"": ""\u041d\u0443 \u043f\u043e\u0447\u0442\u0438 \u0440\u0435\u0434\u043a\u043e"", ""1"": ""\u0440\u0435\u0434\u043a\u043e"", ""2"": "" \u043d\u0438\u0447\u043e\u0441\u0435"", ""3"": ""\u0424\u0418\u0413\u0410\u0421\u0415"", ""4"": ""(\u2299_\u2299)"", ""5"": ""\u0421\u0423\u041f\u0415\u0420|\u041f\u0423\u041f\u0415\u0420|\u041e\u041c\u0415\u0413\u0410|\u0413\u0418\u041f\u0415\u0420|\u0423\u041b\u042c\u0422\u0420\u0410|\u041f\u0420\u041e|\u041c\u0410\u041a\u0421|\u041d\u0415|\u0410\u0419\u0424\u041e\u041d""}",0
"Капец походу в зиме 4 месяца: Ноябрь,Декабрь,Январь,Февраль",0
Наверное должен в эту пору пойти снег,0
Вы должны съесть 5 штук мандаринов сейчас же,0
Оливье на новый год ждет вас,0
Робуксы не дают за паркур,0
Мне не платят за то что я говорю,0
Не забудьте поздравить родственников с Новым Годом когда он наступит!,0
Поздравляю! Happy crisis!,0
Посидим до следующей хорошей цитаты тут?,0
Какие у вас любимые новогодние фильмы?,0
А вы запомните этот новый год?,0
В этот новый год Санта Клаус и Дед мороз снова пересекутся!,0
Поговаривают что тут 51 одна фраза who knows ┐⁠(⁠‘⁠～⁠`⁠;⁠)⁠┌,0
А вы сделаете на этот новый год своего снежного ангела?,0
All i want for Christmas is you, 0
2025-2026,0
И настигнут морозы!,0
classic Christmas phrase.TXT,0
Мандарин вам не апельсин,0
А в этом году вы себя хорошо вели?,0
Вы уже нарядили свою Ёлку к новому году?,0
Hatsune Miku передает вам с наступающим (наступившим) Новым годом!🎤,1
Новогодний эклер в зимней шапочке,1
Если учительница вам поставила плохую оценку! Не расстраивайтесь загадайте на новый год что-бы её увезли в сибирь и она там по настоящему отпраздновала новый год!,1
На новогодние скидки можно купить всякий прикольное барахло!,1
You are such a Christmas Baka!🎄,1
It's the Most Wonderful Time of the Year!🎅,1
Merry pismas!,1
Новогодние хлопья в Christmas шапочке,1
Чипсы со вкусом карамельного яблока,1
Какао с маршмеллоу,1
